Year,Category code,Category name,Fuel,Gas,Units,Value
1990,1.A.,Fuel combustion,All fuels except biomass,CO2,kt,39396.29562641354
1990,1.A.,Fuel combustion,All fuels except biomass,CH4,kt,22.690341227923835
1990,1.A.,Fuel combustion,All fuels except biomass,N2O,kt,1.6360152198760387
1990,1.A.,Fuel combustion,Liquid fuels,CO2,kt,29061.10060712823
1990,1.A.,Fuel combustion,Liquid fuels,CH4,kt,4.920748999048198
1990,1.A.,Fuel combustion,Liquid fuels,N2O,kt,0.7522996506264081
1990,1.A.,Fuel combustion,Solid fuels,CO2,kt,10322.967750914238
1990,1.A.,Fuel combustion,Solid fuels,CH4,kt,0.16969085155658087
1990,1.A.,Fuel combustion,Solid fuels,N2O,kt,0.1430240595413306
1990,1.A.,Fuel combustion,Gaseous fuels,CO2,kt,0.0123253034746821
1990,1.A.,Fuel combustion,Gaseous fuels,CH4,kt,1.108527e-05
1990,1.A.,Fuel combustion,Gaseous fuels,N2O,kt,2.436944e-07
1990,1.A.,Fuel combustion,Other fossil fuels,CO2,kt,12.2149430676
1990,1.A.,Fuel combustion,Other fossil fuels,CH4,kt,0.00051623416388816
1990,1.A.,Fuel combustion,Other fossil fuels,N2O,kt,0.0002993858595
1990,1.A.,Fuel combustion,Peat,CO2,kt,NO
1990,1.A.,Fuel combustion,Peat,CH4,kt,NO
1990,1.A.,Fuel combustion,Peat,N2O,kt,NO
1990,1.A.,Fuel combustion,Biomass,CO2,kt,10964.49950197533
1990,1.A.,Fuel combustion,Biomass,CH4,kt,17.599374057885168
1990,1.A.,Fuel combustion,Biomass,N2O,kt,0.7403918801544
1990,1.A.1.,Energy industries,All fuels except biomass,CO2,kt,16365.601320685204
1990,1.A.1.,Energy industries,All fuels except biomass,CH4,kt,0.23848758592667757
1990,1.A.1.,Energy industries,All fuels except biomass,N2O,kt,0.16283679004741042
1990,1.A.1.,Energy industries,Liquid fuels,CO2,kt,8354.136258028138
1990,1.A.1.,Energy industries,Liquid fuels,CH4,kt,0.13350911192667758
1990,1.A.1.,Energy industries,Liquid fuels,N2O,kt,0.035942275457410425
1990,1.A.1.,Energy industries,Solid fuels,CO2,kt,8011.4650626570665
1990,1.A.1.,Energy industries,Solid fuels,CH4,kt,0.104978474
1990,1.A.1.,Energy industries,Solid fuels,N2O,kt,0.12689451459
1990,1.A.1.,Energy industries,Gaseous fuels,CO2,kt,NO
1990,1.A.1.,Energy industries,Gaseous fuels,CH4,kt,NO
1990,1.A.1.,Energy industries,Gaseous fuels,N2O,kt,NO
1990,1.A.1.,Energy industries,Other fossil fuels,CO2,kt,NO
1990,1.A.1.,Energy industries,Other fossil fuels,CH4,kt,NO
1990,1.A.1.,Energy industries,Other fossil fuels,N2O,kt,NO
1990,1.A.1.,Energy industries,Peat,CO2,kt,NO
1990,1.A.1.,Energy industries,Peat,CH4,kt,NO
1990,1.A.1.,Energy industries,Peat,N2O,kt,NO
1990,1.A.1.,Energy industries,Biomass,CO2,kt,NO
1990,1.A.1.,Energy industries,Biomass,CH4,kt,NO
1990,1.A.1.,Energy industries,Biomass,N2O,kt,NO
1990,1.A.1.a.,Public electricity and heat production,All fuels except biomass,CO2,kt,14354.84068775615
1990,1.A.1.a.,Public electricity and heat production,All fuels except biomass,CH4,kt,0.1620319519904609
1990,1.A.1.a.,Public electricity and heat production,All fuels except biomass,N2O,kt,0.1531041453980922
1990,1.A.1.a.,Public electricity and heat production,Liquid fuels,CO2,kt,6434.11343340415
1990,1.A.1.a.,Public electricity and heat production,Liquid fuels,CH4,kt,0.0774875219904609
1990,1.A.1.a.,Public electricity and heat production,Liquid fuels,N2O,kt,0.0262875003980922
1990,1.A.1.a.,Public electricity and heat production,Solid fuels,CO2,kt,7920.727254352
1990,1.A.1.a.,Public electricity and heat production,Solid fuels,CH4,kt,0.08454443
1990,1.A.1.a.,Public electricity and heat production,Solid fuels,N2O,kt,0.126816645
1990,1.A.1.a.,Public electricity and heat production,Gaseous fuels,CO2,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Gaseous fuels,CH4,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Gaseous fuels,N2O,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Other fossil fuels,CO2,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Other fossil fuels,CH4,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Other fossil fuels,N2O,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Peat,CO2,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Peat,CH4,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Peat,N2O,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Biomass,CO2,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Biomass,CH4,kt,NO
1990,1.A.1.a.,Public electricity and heat production,Biomass,N2O,kt,NO
1990,1.A.1.b.,Petroleum refining,All fuels except biomass,CO2,kt,1870.04682359469
1990,1.A.1.b.,Petroleum refining,All fuels except biomass,CH4,kt,0.0540768678369791
1990,1.A.1.b.,Petroleum refining,All fuels except biomass,N2O,kt,0.00926583063947071
1990,1.A.1.b.,Petroleum refining,Liquid fuels,CO2,kt,1870.04682359469
1990,1.A.1.b.,Petroleum refining,Liquid fuels,CH4,kt,0.0540768678369791
1990,1.A.1.b.,Petroleum refining,Liquid fuels,N2O,kt,0.00926583063947071
1990,1.A.1.b.,Petroleum refining,Solid fuels,CO2,kt,NO
1990,1.A.1.b.,Petroleum refining,Solid fuels,CH4,kt,NO
1990,1.A.1.b.,Petroleum refining,Solid fuels,N2O,kt,NO
1990,1.A.1.b.,Petroleum refining,Gaseous fuels,CO2,kt,NO
1990,1.A.1.b.,Petroleum refining,Gaseous fuels,CH4,kt,NO
1990,1.A.1.b.,Petroleum refining,Gaseous fuels,N2O,kt,NO
1990,1.A.1.b.,Petroleum refining,Other fossil fuels,CO2,kt,NO
1990,1.A.1.b.,Petroleum refining,Other fossil fuels,CH4,kt,NO
1990,1.A.1.b.,Petroleum refining,Other fossil fuels,N2O,kt,NO
1990,1.A.1.b.,Petroleum refining,Peat,CO2,kt,NO
1990,1.A.1.b.,Petroleum refining,Peat,CH4,kt,NO
1990,1.A.1.b.,Petroleum refining,Peat,N2O,kt,NO
1990,1.A.1.b.,Petroleum refining,Biomass,CO2,kt,NO
1990,1.A.1.b.,Petroleum refining,Biomass,CH4,kt,NO
1990,1.A.1.b.,Petroleum refining,Biomass,N2O,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,All fuels except biomass,CO2,kt,140.7138093343639
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,All fuels except biomass,CH4,kt,0.022378766099237567
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,All fuels except biomass,N2O,kt,0.00046681400984751296
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Liquid fuels,CO2,kt,49.9760010292973
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Liquid fuels,CH4,kt,0.00194472209923757
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Liquid fuels,N2O,kt,0.000388944419847513
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Solid fuels,CO2,kt,90.7378083050666
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Solid fuels,CH4,kt,0.020434044
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Solid fuels,N2O,kt,7.786959e-05
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Gaseous fuels,CO2,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Gaseous fuels,CH4,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Gaseous fuels,N2O,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Other fossil fuels,CO2,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Other fossil fuels,CH4,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Other fossil fuels,N2O,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Peat,CO2,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Peat,CH4,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Peat,N2O,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Biomass,CO2,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Biomass,CH4,kt,NO
1990,1.A.1.c.,Manufacture of solid fuels and other energy industries,Biomass,N2O,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,All fuels except biomass,CO2,kt,90.7378083050666
1990,1.A.1.c.i.,Manufacture of solid fuels,All fuels except biomass,CH4,kt,0.020434044
1990,1.A.1.c.i.,Manufacture of solid fuels,All fuels except biomass,N2O,kt,7.786959e-05
1990,1.A.1.c.i.,Manufacture of solid fuels,Liquid fuels,CO2,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Liquid fuels,CH4,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Liquid fuels,N2O,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Solid fuels,CO2,kt,90.7378083050666
1990,1.A.1.c.i.,Manufacture of solid fuels,Solid fuels,CH4,kt,0.020434044
1990,1.A.1.c.i.,Manufacture of solid fuels,Solid fuels,N2O,kt,7.786959e-05
1990,1.A.1.c.i.,Manufacture of solid fuels,Gaseous fuels,CO2,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Gaseous fuels,CH4,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Gaseous fuels,N2O,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Other fossil fuels,CO2,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Other fossil fuels,CH4,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Other fossil fuels,N2O,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Peat,CO2,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Peat,CH4,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Peat,N2O,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Biomass,CO2,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Biomass,CH4,kt,NO
1990,1.A.1.c.i.,Manufacture of solid fuels,Biomass,N2O,kt,NO
1990,1.A.1.c.iii.,Other energy industries,All fuels except biomass,CO2,kt,49.9760010292973
